Course Code,Course Name,Default Category,Proposed Specific Category,File Count,Total Size (MB),Degree Programs,Academic Years,Sample Document Titles
A04D5A,Religions,Examens,Examens,17,2.62,Ma - Algemeen vormende onderdelen,"2005 - 2006, 2007 - 2008, 2011 - 2012, 2013 - 2014, 2014 - 2015",Examen Religie Reconstructie Jan2023; Examen Rzl 19 06 2024; Examenvragen Religie (herexamen)
A04D5A,Religions,Oefenzittingen,Oefenzittingen,2,0.19,Ma - Algemeen vormende onderdelen,2025 - 2026,Voorbeeldvragen Rzl Ingenieurswetenschappen 2026 Oplossingen (frederik T); Voorbeeldvragen Rzl Ingenieurswetenschappen 2026
A04D5A,Religions,Samenvattingen,Samenvattingen,19,29.81,Ma - Algemeen vormende onderdelen,"2004 - 2005, 2009 - 2010, 2010 - 2011, 2015 - 2016, 2018 - 2019",Samenvatting Religie (lukasvandenbroeck); Samenvatting 2023 Willem De Brandt; Kunstige Samenvatting Rzl (xan Decoutere)
A04D5A,Religions,Samenvattingen,Overig / Other,11,14.98,"Ma - Algemeen vormende onderdelen, Ma - Mobility and Supply Chain Engineering","2014 - 2015, 2015 - 2016, 2022 - 2023, 2023 - 2024, 2025 - 2026",Overview 2023 Silke Van Poeyer; Extra Youti ( Idid & Nova) Marion Cardous 2023; Nova Idid Tizi
A04D5A,Religions,Samenvattingen,Slides / Lesmateriaal,9,63.21,Ma - Mobility and Supply Chain Engineering,2022 - 2023,Les 1; Les 2; Les 3
A08C4A,Perspectives on Religion and Meaning,Samenvattingen,Slides / Lesmateriaal,7,9.13,Ma - Algemeen vormende onderdelen,2010 - 2011,A08c4a Hoofdstuk 0 Inleiding (2011); A08c4a Hoofdstuk 1 (2011); A08c4a Hoofdstuk 2 (2011)
BETON1,Beton1 YoanaVanWalle.docx,Samenvattingen,Overig / Other,1,18.17,Ba - Architectuur,2025 - 2026,Beton1 Yoanavanwalle
BOOKFI,"[Michael_Affenzeller,_Stephan_Winkler,_Stefan_Wagn(BookFi.org).pdf",Samenvattingen,Overig / Other,1,5.26,Ma - Biomedical Engineering,2017 - 2018,"[michael Affenzeller, Stephan Winkler, Stefan Wagn(bookfi Org)"
C00M0A,Intellectual Property Management,Examens,Examens,2,15.78,Ma - Mobility and Supply Chain Engineering,2022 - 2023,Voorbeeldexamen Juni 2022; Vragencollege Voorbereiding Examen
C00M0A,Intellectual Property Management,Samenvattingen,Overig / Other,2,21.11,Ma - Mobility and Supply Chain Engineering,2022 - 2023,Begrippen 2023 Silke Van Poeyer; Overview 2023 Silke Van Poeyer
C00M0A,Intellectual Property Management,Samenvattingen,Slides / Lesmateriaal,11,80.34,Ma - Mobility and Supply Chain Engineering,2022 - 2023,1 Inleiding Tot Het Recht; 2 Vrijheid Van Mededingen & 3 1 Ier Algemeen; 3 2 Auteursrecht
C00M1A,Construction Law,Examens,Examens,4,0.3,Ma - Civil Engineering,"2017 - 2018, 2018 - 2019",Examenvragen En Oplossingen 2018 2019 Arthur Rohaert; Bouwrecht Examenvragen Dit Jaar; Examen Bouwrecht 2013
